City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
265,Cape Coast,GH,5.11,-1.25,74.23,93,92,11.03,Overcast Clouds
266,Koratla,IN,18.82,78.72,78.73,83,100,5.14,Overcast Clouds
267,Bathsheba,BB,13.22,-59.52,86.61,66,40,13.8,Scattered Clouds
268,Burns Lake,CA,54.23,-125.75,71.02,45,5,6.42,Clear Sky
269,Zyryanka,RU,65.75,150.85,49.44,46,100,4.79,Overcast Clouds
270,Newark,US,40.74,-74.17,86.95,37,20,19.57,Few Clouds
271,Buraydah,SA,26.33,43.98,93.65,11,52,9.31,Broken Clouds
272,Zheleznodorozhnyy,RU,55.75,38.0,56.75,62,52,10.85,Broken Clouds
273,Ust-Maya,RU,60.42,134.53,46.29,95,100,2.01,Overcast Clouds
274,Basqal,AZ,40.76,48.39,67.48,34,0,5.23,Clear Sky
275,Hay River,CA,60.82,-115.8,66.16,55,75,4.61,Broken Clouds
276,Zhanakorgan,KZ,43.91,67.25,76.98,19,0,4.68,Clear Sky
277,Mareeba,AU,-17.0,145.43,66.92,88,48,3.53,Scattered Clouds
278,Itarema,BR,-2.92,-39.92,80.19,66,2,16.13,Clear Sky
279,Beloha,MG,-25.17,45.05,61.7,49,86,12.75,Overcast Clouds
280,Gotsu,JP,35.0,132.22,74.43,94,100,5.41,Overcast Clouds
281,Longyearbyen,SJ,78.22,15.64,37.24,81,40,3.44,Scattered Clouds
282,Kirakira,SB,-10.45,161.92,79.18,84,99,11.9,Light Rain
283,Santa Cruz De Tenerife,ES,28.47,-16.25,76.91,89,20,12.66,Fog
284,Talnakh,RU,69.49,88.4,36.21,85,14,2.46,Few Clouds
285,Rong Kwang,TH,18.34,100.32,75.24,96,100,2.08,Overcast Clouds
286,Laguna,US,38.42,-121.42,99.09,31,0,8.05,Clear Sky
287,Bollnas,SE,61.35,16.39,51.93,70,96,4.97,Overcast Clouds
288,Kharan,PK,28.58,65.42,87.64,20,2,1.57,Clear Sky
289,Wuwei,CN,37.93,102.64,64.2,50,76,4.92,Broken Clouds
290,Terrace,CA,54.52,-128.6,67.91,77,75,5.75,Broken Clouds
291,Snezhnogorsk,RU,69.19,33.25,35.38,73,98,10.4,Overcast Clouds
292,Arman,RU,59.7,150.17,51.75,82,8,3.91,Clear Sky
293,Noumea,NC,-22.28,166.46,70.0,99,79,10.36,Broken Clouds
294,Matara,LK,5.95,80.54,76.39,89,97,13.96,Overcast Clouds
295,Komsomolskiy,UZ,40.43,71.72,70.52,40,1,6.91,Clear Sky
296,Carballo,ES,43.21,-8.69,65.89,89,41,2.24,Scattered Clouds
297,Bandarbeyla,SO,9.49,50.81,76.86,81,99,23.06,Overcast Clouds
298,Shibetsu,JP,43.66,145.13,61.21,95,100,11.3,Overcast Clouds
299,Bethel,US,41.37,-73.41,84.72,42,20,13.8,Few Clouds
300,Ust-Kulom,RU,61.69,53.69,46.69,74,100,8.23,Overcast Clouds
301,Gigmoto,PH,13.78,124.39,80.38,87,83,8.19,Broken Clouds
302,Poum,NC,-20.23,164.02,73.09,78,76,18.68,Broken Clouds
303,Sonoita,MX,31.85,-112.83,101.26,19,0,10.36,Clear Sky
304,Road Town,VG,18.42,-64.62,87.89,70,40,3.44,Scattered Clouds
305,Roald,NO,62.58,6.13,57.76,87,0,13.8,Clear Sky
306,Diego De Almagro,CL,-26.37,-70.05,65.89,27,0,9.31,Clear Sky
307,Haines Junction,CA,60.75,-137.51,58.95,44,10,5.75,Clear Sky
308,East London,ZA,-33.02,27.91,58.51,64,0,15.48,Clear Sky
309,Benemerito De Las Americas,MX,16.52,-90.64,92.91,43,94,4.36,Overcast Clouds
310,Maarianhamina,AX,60.1,19.93,46.26,93,20,3.44,Few Clouds
311,Ribeira Grande,PT,38.52,-28.7,75.6,83,20,3.44,Few Clouds
312,Tateyama,JP,34.98,139.87,82.09,85,51,17.25,Broken Clouds
313,Saint-Philippe,RE,-21.36,55.77,67.21,79,19,3.94,Few Clouds
314,Zumarraga,PH,11.64,124.84,79.83,83,100,3.38,Overcast Clouds
315,Rawah,IQ,34.48,41.91,94.8,9,0,8.46,Clear Sky
316,Belmonte,BR,-15.86,-38.88,69.08,77,90,11.81,Overcast Clouds
317,Morondava,MG,-20.28,44.28,69.22,61,0,20.07,Clear Sky
318,Sitka,US,57.05,-135.33,58.89,82,20,5.75,Few Clouds
319,Guerrero Negro,MX,27.98,-114.06,81.16,60,15,12.75,Few Clouds
320,Roma,US,43.21,-75.46,77.72,51,20,16.11,Few Clouds
321,Vilhena,BR,-12.74,-60.15,93.42,26,0,5.75,Clear Sky
322,Grindavik,IS,63.84,-22.43,48.67,87,75,17.27,Broken Clouds
323,Ixtapa,MX,20.7,-105.2,90.23,62,40,10.36,Scattered Clouds
324,Chicama,PE,-7.84,-79.15,63.14,58,18,11.21,Few Clouds
325,Ranong,TH,9.97,98.63,77.72,91,100,2.01,Overcast Clouds
326,Bondoukou,CI,8.03,-2.8,70.57,98,100,3.83,Moderate Rain
327,Kaduqli,SD,11.02,29.72,72.64,89,1,4.9,Clear Sky
328,George,ZA,-33.96,22.46,47.75,87,0,2.3,Clear Sky
329,Viedma,AR,-40.81,-63.0,64.18,30,97,4.18,Overcast Clouds
330,Jamame,SO,0.07,42.75,73.18,79,92,10.38,Overcast Clouds
331,Juneau,US,58.3,-134.42,60.8,82,75,8.05,Light Rain
332,Boulder,US,40.08,-105.35,87.84,28,0,3.44,Clear Sky
333,Beyla,GN,8.68,-8.63,68.65,96,91,2.82,Moderate Rain
334,Ouesso,CG,1.61,16.05,73.53,89,99,0.94,Light Rain
335,Aklavik,CA,68.22,-135.01,65.68,45,60,3.91,Broken Clouds
336,Ossora,RU,59.24,163.07,52.2,59,2,6.69,Clear Sky
337,Chichawatni,PK,30.53,72.7,85.19,55,0,5.46,Clear Sky
338,Alugan,PH,12.22,125.48,78.22,88,31,6.33,Scattered Clouds
339,Oktyabrskiy,RU,54.48,53.47,69.94,41,87,6.93,Overcast Clouds
340,Bereda,ES,43.27,-7.54,60.15,95,42,0.89,Scattered Clouds
341,Nome,US,64.5,-165.41,50.07,88,100,9.22,Light Rain
342,Kidal,ML,18.44,1.41,92.26,30,64,12.44,Broken Clouds
343,Chimore,BO,-16.98,-65.13,93.02,24,1,5.97,Clear Sky
344,Kununurra,AU,-15.77,128.73,71.58,88,40,0.0,Scattered Clouds
